FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID,Learning,Problemsolving,Pressure,Roleexpectations,Teamwork,Sensitivity,Workpolitics
Autistica - Work: Self Confidence,120,72888018,5,2,3,2,3,3,2,3,2,2,3,2,2,3,2,3,2,2,2,3,2,3,3,3,2,3,2,2,2,3,5/30/19,1093,2.75,2.5,2.75,3,2.5,2.25,2
Autistica - Work: Self Confidence,120,43522829,1,2,3,3,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,2,3,2,5/30/19,1094,2.75,2.166666667,2.5,2.25,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,41811454,5,2,3,2,3,3,3,3,2,2,2,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,3,2,5/30/19,1095,3,2.333333333,2.25,3,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,40690745,3,3,2,2,3,2,2,3,3,2,2,2,2,2,3,3,3,2,3,3,3,3,2,2,3,2,3,2,2,3,5/30/19,1096,2.25,2.666666667,2.25,2.75,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,25057429,5,2,2,3,2,3,3,3,3,3,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,3,5/30/19,1097,2,2.333333333,2.5,3,2.25,2.5,3
Autistica - Work: Self Confidence,120,39249976,2,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,5/30/19,1098,2.25,2.666666667,2.5,2,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,63410382,1,3,3,3,2,3,3,3,2,3,2,2,2,2,3,2,3,2,3,3,3,3,2,3,3,2,2,2,3,3,5/30/19,1099,2,2.833333333,2.5,2.25,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,61657100,1,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,3,2,2,2,3,3,2,3,3,2,2,2,5/30/19,1100,2.75,2.333333333,2,2,2,2.25,2.5
Autistica - Work: Self Confidence,120,22222222,2,2,3,2,2,2,3,2,3,2,2,3,2,2,2,3,2,3,2,2,2,3,3,3,2,3,3,3,3,3,06/01/2019,1101,2.5,2.5,2.25,2.5,2,3,2.5
Autistica - Work: Self Confidence,120,11111111,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,2,2,3,3,3,3,2,2,3,06/01/2019,1102,2.75,2.5,2.25,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,12077101,3,3,3,3,3,3,2,3,3,3,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,2,3,2,3,3,06/01/2019,1103,2.25,2.333333333,2.25,2.75,2.75,3,2.5
Autistica - Work: Self Confidence,120,38961843,2,3,3,2,3,3,3,2,3,2,3,2,3,2,2,2,2,3,3,2,2,2,3,3,2,3,3,2,2,2,06/01/2019,1104,3,2.166666667,2.5,2.5,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,67611589,1,3,2,3,2,3,2,3,2,2,2,2,3,2,2,3,3,2,2,2,3,3,2,2,2,3,2,2,2,3,06/01/2019,1105,2.5,2.5,2.25,2,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,32500162,2,3,3,3,3,2,3,2,2,2,3,2,2,2,2,3,2,2,3,2,3,3,3,3,2,2,2,2,2,3,06/01/2019,1106,2.5,2.5,2.25,2.5,2.25,2.25,2.75
Autistica - Work: Self Confidence,120,90705766,2,2,3,2,2,2,3,3,3,2,2,3,2,2,3,3,3,2,3,2,3,2,2,3,2,3,2,2,2,3,06/01/2019,1107,2.25,2.666666667,2,2.75,2.25,2.25,2.75
Autistica - Work: Self Confidence,120,46465154,3,2,2,3,3,3,2,3,3,2,2,2,2,3,2,3,2,3,2,2,2,3,2,3,3,3,3,2,3,2,06/01/2019,1108,2.5,2.5,2.25,2.5,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,36480781,3,3,3,3,3,2,3,2,3,3,3,3,2,2,2,3,3,2,3,2,3,2,2,2,2,3,2,3,3,2,06/01/2019,1109,2.5,2.5,2.5,3,2.25,2.25,3
Autistica - Work: Self Confidence,120,86004302,2,2,3,3,3,2,2,3,3,3,3,2,3,2,3,2,3,2,2,2,3,2,2,2,3,3,2,3,3,3,06/01/2019,1110,2.75,2.5,2.5,2.75,2.5,2.5,2.25
Autistica - Work: Self Confidence,120,74046800,5,3,2,3,2,2,3,3,2,2,3,3,2,3,3,3,2,3,2,2,3,3,2,2,2,2,3,3,3,3,06/01/2019,1111,2,2.5,2.5,3,2.75,3,2.75
Autistica - Work: Self Confidence,120,67512682,3,2,3,2,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,2,2,2,3,3,2,3,2,2,3,2,06/01/2019,1112,2.5,2.5,2.25,2.5,2.25,2.25,2.75
Autistica - Work: Self Confidence,120,87436666,1,3,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,2,3,2,3,2,06/01/2019,1113,2.25,3,2.5,2,3,2.5,2.5
Autistica - Work: Self Confidence,120,28755653,1,2,2,3,2,3,2,2,2,2,3,2,2,3,3,3,2,2,2,3,3,3,3,2,3,2,3,2,2,2,06/01/2019,1114,2.25,2.5,2.75,2,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,66722819,3,3,3,3,2,3,3,3,2,2,3,2,3,3,3,3,2,3,2,3,2,2,2,3,2,2,2,3,2,2,06/01/2019,1115,2.25,2.5,3,2.5,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,65438804,2,3,3,2,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,06/01/2019,1116,2.25,2.666666667,2.75,2.25,2.5,2.75,2.75
Autistica - Work: Self Confidence,120,15938146,5,2,3,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,2,2,3,2,2,2,2,3,3,2,2,06/01/2019,1117,2.5,2.666666667,2.5,3,2.5,2.25,2.75
Autistica - Work: Self Confidence,120,37603401,1,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,06/01/2019,1118,2.5,2.833333333,2.5,2.25,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,23337145,3,3,3,2,2,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,06/01/2019,1119,2.75,2.833333333,2.75,2.75,3,2.5,2.25
Autistica - Work: Self Confidence,120,99599196,2,2,2,2,2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,2,2,2,3,3,2,3,2,2,3,3,06/01/2019,1120,2.5,2.5,2.5,2.25,2.5,2.75,2.25
Autistica - Work: Self Confidence,120,25718877,1,3,3,2,2,2,3,2,3,2,3,3,2,2,3,2,2,2,3,2,3,2,3,3,2,3,3,3,3,3,06/01/2019,1121,2.5,2.333333333,2.5,2.5,2.25,2.75,2.75
Autistica - Work: Self Confidence,120,97909632,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2,3,3,2,2,3,2,2,3,2,2,06/01/2019,1122,2.25,2.833333333,2.5,3,2.75,2,2.5
Autistica - Work: Self Confidence,120,40268226,2,2,2,2,3,3,2,2,3,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,06/01/2019,1123,2.5,2.333333333,2.75,2.25,2,2.25,2
Autistica - Work: Self Confidence,120,63985686,3,2,3,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,3,2,3,2,3,2,3,2,2,3,3,3,06/01/2019,1124,2.5,2.166666667,2.25,3,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,63237915,2,2,2,3,2,3,3,3,2,2,2,3,2,2,3,3,3,2,2,3,2,3,3,3,3,2,3,3,3,2,06/01/2019,1125,2.25,2.833333333,2.75,2,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,50544037,5,3,3,3,2,3,2,2,2,3,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,06/01/2019,1126,2.5,2.833333333,2.5,3.25,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,14286843,2,2,2,3,3,3,3,2,2,2,2,2,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,06/01/2019,1127,2.5,2.333333333,2.25,2.25,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,53175760,5,3,2,2,3,2,2,3,3,3,3,3,2,3,2,2,2,2,2,3,3,2,2,3,2,2,3,2,3,3,06/01/2019,1128,2.25,2.333333333,2.5,3.25,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,56361261,5,2,3,3,3,2,3,2,2,3,3,3,2,2,3,2,3,3,3,3,3,2,3,3,2,2,2,2,2,2,06/01/2019,1129,2.5,2.666666667,2.5,3.25,2,2.25,3
Autistica - Work: Self Confidence,120,66411825,2,2,3,2,2,2,3,2,3,3,2,3,3,3,3,2,2,3,2,2,2,3,2,3,3,2,2,2,3,3,06/01/2019,1130,2.25,2.666666667,2,2.5,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,34060153,1,2,3,2,2,3,2,2,3,3,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,06/01/2019,1131,2.25,2.333333333,2.5,2.25,2.25,2.25,2
Autistica - Work: Self Confidence,120,11168511,2,2,2,2,3,2,3,3,2,3,2,3,3,2,2,3,2,3,2,3,3,2,2,3,2,3,2,3,3,3,06/01/2019,1132,2.75,2.5,2.5,2.25,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,85920205,1,3,3,2,2,3,2,3,2,2,3,2,2,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,2,2,06/01/2019,1133,2.25,2.833333333,2.5,2.25,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,83766303,1,3,2,2,2,3,2,2,3,3,2,3,2,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,3,3,06/01/2019,1134,2,3,2.25,2.25,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,64793738,5,2,2,3,2,2,2,2,2,2,3,2,2,3,3,3,2,2,3,2,3,3,2,2,3,3,2,2,3,2,06/01/2019,1135,2.25,2.5,2.25,3,2.5,2.25,2.5
Autistica - Work: Self Confidence,120,59096037,2,3,2,2,2,2,3,3,3,3,2,2,3,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,3,06/01/2019,1136,2.5,2.666666667,2,2.5,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,77773077,1,3,3,2,2,2,3,3,2,3,2,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,2,3,3,2,06/01/2019,1137,2.75,2.666666667,2.5,2,2.75,2.25,2.25
Autistica - Work: Self Confidence,120,47375033,5,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,3,3,3,2,3,2,3,2,2,2,2,3,3,3,06/01/2019,1138,2.5,2.333333333,2.75,3,2,2.75,2.25
Autistica - Work: Self Confidence,120,39847852,1,2,3,3,3,2,3,3,2,2,2,2,3,3,3,2,2,3,2,3,2,3,3,3,3,2,2,2,2,3,06/01/2019,1139,2.75,2.5,2.25,2,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,68971632,3,3,3,2,2,2,2,2,3,2,2,2,3,3,2,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,06/01/2019,1140,2.5,2.666666667,2.5,2.75,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,22090963,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,2,2,3,06/01/2019,1141,3,2.666666667,2.5,2.75,2.75,2.75,3
Autistica - Work: Self Confidence,120,60377624,1,3,2,2,3,3,3,2,2,2,3,3,2,2,3,2,3,2,2,2,3,3,3,2,2,2,3,3,2,3,06/01/2019,1142,2.5,2.5,2.75,2,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,30738880,5,3,3,3,2,3,2,2,3,2,3,2,3,3,2,3,2,2,2,2,3,2,3,2,2,3,2,2,2,2,06/01/2019,1143,2.75,2.166666667,2.5,3.5,2.5,2,2.25
Autistica - Work: Self Confidence,120,86589369,2,3,3,3,3,2,2,3,2,3,2,3,3,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,3,3,06/01/2019,1144,2.75,2.666666667,2.25,2.25,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,66155821,2,3,2,2,3,2,3,2,3,2,2,3,2,2,2,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,06/01/2019,1145,2.5,2.5,2.25,2.5,2.5,3,2.5
Autistica - Work: Self Confidence,120,61677296,2,3,2,2,3,2,3,2,3,3,2,2,2,2,3,3,3,2,3,2,2,3,2,3,2,3,2,2,3,3,06/01/2019,1146,2.5,3,2,2.25,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,56419454,3,3,2,3,3,3,2,3,3,2,2,2,3,3,3,3,2,2,2,3,2,3,2,3,2,2,3,3,3,2,06/01/2019,1147,2.5,2.666666667,2.75,2.5,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,86397034,3,3,2,3,2,2,3,2,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,06/01/2019,1148,2.75,2.666666667,2.25,2.75,2.5,2.5,3
Autistica - Work: Self Confidence,120,41455969,5,3,2,2,3,3,2,3,2,3,3,3,3,3,3,2,2,3,2,3,2,3,2,2,3,3,3,3,3,2,06/01/2019,1149,2.75,2.5,3,2.75,3,2.75,2.25
Autistica - Work: Self Confidence,120,23394144,2,2,3,3,3,2,3,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,06/01/2019,1150,2.5,2.5,2,2.5,2,2.5,2.5
Autistica - Work: Self Confidence,120,21326904,5,3,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3,2,2,2,2,3,3,2,2,2,3,2,2,3,06/01/2019,1151,2.5,2.666666667,2,3.25,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,44980497,2,2,3,3,3,3,3,2,3,3,2,2,3,3,2,2,3,3,2,2,2,3,2,3,3,2,3,3,3,3,06/01/2019,1152,2.5,2.666666667,2.5,2.5,2.5,3,2.5
Autistica - Work: Self Confidence,120,38982647,2,3,3,3,3,3,2,2,3,2,3,3,2,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,06/01/2019,1153,2.25,2.5,2.5,2.75,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,80484260,1,2,2,3,3,2,3,3,2,2,2,3,2,2,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,06/01/2019,1154,2.75,2.833333333,2.5,1.75,2.25,2.5,3
Autistica - Work: Self Confidence,120,24052776,3,3,2,3,2,3,3,3,3,2,2,2,2,3,2,2,3,2,2,3,3,2,3,2,3,2,2,3,3,3,06/01/2019,1155,2.25,2.166666667,2.75,2.75,3,2.5,2.5
Autistica - Work: Self Confidence,120,70538701,5,2,2,2,3,3,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,3,2,3,2,2,3,2,3,2,06/01/2019,1156,2.25,2.666666667,2.75,2.75,2,2.5,2.25
Autistica - Work: Self Confidence,120,89804580,2,2,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,3,06/01/2019,1157,2.25,2,2,2.5,2.5,2.5,2.25
Autistica - Work: Self Confidence,120,17191527,3,3,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,2,2,3,3,2,2,3,2,2,2,2,3,3,06/01/2019,1158,2.25,2.5,2.25,2.75,2.25,2.5,2.25
Autistica - Work: Self Confidence,120,12248148,1,2,2,2,3,3,3,2,2,2,2,3,3,3,2,2,2,2,3,2,3,2,2,2,3,3,3,2,3,2,06/01/2019,1159,2.75,2,2.25,2,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,14567809,1,2,3,2,2,2,2,2,3,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,06/01/2019,1160,2.25,2.333333333,2.5,2.25,2.25,2.25,2.25
Autistica - Work: Self Confidence,120,53779464,1,2,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,2,3,3,2,06/01/2019,1161,2.5,2.833333333,2.5,2.25,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,97777931,2,3,3,3,3,3,2,2,2,2,3,3,2,3,2,2,2,3,3,2,3,3,3,2,3,3,2,2,3,3,06/01/2019,1162,2.75,2.166666667,2.5,2.5,2.75,2.75,2.75
Autistica - Work: Self Confidence,120,99713717,5,2,3,3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,2,3,3,2,2,2,2,3,2,3,3,3,06/01/2019,1163,2.25,2.5,2.75,3.25,2,2.75,2.25
Autistica - Work: Self Confidence,120,93466703,5,3,3,2,3,3,2,3,2,3,2,2,3,2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,2,3,06/01/2019,1164,2.5,2.666666667,2.75,3.25,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,37419497,3,2,3,2,3,3,3,3,3,2,3,2,3,3,2,2,2,3,3,2,2,2,3,2,3,3,2,3,3,3,06/01/2019,1165,3,2,2.75,2.75,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,35358065,3,3,3,2,2,3,2,2,2,2,2,2,3,3,2,3,3,2,3,2,2,3,2,2,3,2,3,2,2,2,06/01/2019,1166,2.25,2.5,2.25,2.5,2.75,2.25,2.25
Autistica - Work: Self Confidence,120,86131995,2,3,3,2,3,2,2,3,3,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,2,2,2,3,06/01/2019,1167,3,2.5,2.5,2.75,2.5,2.5,2.25
Autistica - Work: Self Confidence,120,57180656,1,3,3,2,2,3,3,2,3,2,3,3,2,3,2,2,3,3,2,2,3,3,3,2,3,3,3,2,2,3,06/01/2019,1168,2.5,2.333333333,2.5,2.5,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,62929404,1,3,3,2,2,3,2,3,2,2,2,2,3,3,2,3,3,3,3,2,3,2,3,2,3,2,2,2,2,3,06/01/2019,1169,2.5,2.333333333,2.25,2.25,3,2.5,2.25
Autistica - Work: Self Confidence,120,30901982,1,3,3,2,3,3,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,06/01/2019,1170,2.75,2.666666667,2.75,2,2.75,3,2.25
Autistica - Work: Self Confidence,120,93085379,3,2,3,2,2,2,3,3,3,3,2,2,2,2,2,3,3,2,3,2,3,2,3,2,2,3,3,3,2,2,06/01/2019,1171,2.5,2.5,2.25,3,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,77431644,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,2,3,06/01/2019,1172,3,2.833333333,2.75,2.5,3,2.5,2.75
Autistica - Work: Self Confidence,120,67013133,3,2,2,3,3,3,2,2,3,3,2,3,2,3,2,3,2,3,3,3,3,2,3,2,3,2,2,2,2,3,06/01/2019,1173,2.5,2.333333333,2.5,2.75,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,13838301,5,2,2,2,2,3,2,3,3,3,2,3,2,2,2,3,2,2,3,3,2,2,3,3,2,3,3,2,3,3,06/01/2019,1174,2.5,2.5,2.5,3,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,66718298,5,2,2,3,2,2,3,3,2,3,3,3,3,2,2,3,2,3,3,2,3,2,2,3,2,2,3,2,2,3,06/01/2019,1175,2.25,2.5,2.25,3,2.25,2.75,3
Autistica - Work: Self Confidence,120,24641611,3,3,2,3,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,3,2,2,3,3,3,3,3,06/01/2019,1176,3,2.166666667,3,2.5,2.25,2.75,2.75
Autistica - Work: Self Confidence,120,67388864,1,2,2,3,3,2,3,3,3,2,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,3,2,3,3,3,06/01/2019,1177,2.75,2.333333333,2.25,2,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,25055544,3,3,3,3,3,2,2,2,3,3,3,3,2,2,3,3,2,2,2,3,3,2,2,2,3,2,2,3,3,2,06/01/2019,1178,2.25,2.5,2.75,3,2.5,2.25,2.5
Autistica - Work: Self Confidence,120,24503298,5,2,3,2,2,2,3,3,2,3,3,3,2,3,3,3,2,2,2,2,3,3,3,2,3,2,2,3,2,3,06/01/2019,1179,2.25,2.666666667,2.5,3.25,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,43928283,3,3,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,2,3,2,2,2,3,3,3,2,3,06/01/2019,1180,2.25,2.666666667,2.5,2.5,2.5,2.75,2
Autistica - Work: Self Confidence,120,19630284,2,3,2,2,3,3,3,2,3,2,3,3,2,2,2,3,2,3,3,2,3,3,3,3,2,3,2,2,2,2,06/01/2019,1181,2.75,2.5,2.5,2.5,2.25,2.25,2.75
Autistica - Work: Self Confidence,120,87042105,1,2,2,2,3,2,3,2,3,3,2,3,2,2,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,3,06/01/2019,1182,2.5,2.833333333,2.25,2,2.25,2.75,2.75
Autistica - Work: Self Confidence,120,71593024,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,06/01/2019,1183,2.25,2.5,2.25,2.75,2,3,2.5
Autistica - Work: Self Confidence,120,31866214,1,3,3,3,2,2,2,2,3,3,3,3,2,2,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,06/01/2019,1184,2.25,2.5,2.25,2.25,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,97162166,5,3,2,2,3,3,2,2,3,2,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,06/01/2019,1185,2.5,2.333333333,2.75,3,2.5,2,2.25
Autistica - Work: Self Confidence,120,41273901,3,2,3,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,2,06/01/2019,1186,2.5,3,2.5,2.75,2.25,2.5,2
Autistica - Work: Self Confidence,120,43440948,2,3,3,3,2,3,3,2,3,2,2,2,3,3,3,2,2,3,2,3,2,2,3,2,3,2,3,2,2,3,06/01/2019,1187,2.5,2.166666667,2.5,2.5,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,77705205,1,2,3,3,2,2,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,2,2,06/01/2019,1188,2,2.666666667,2.5,2.25,2.5,2.25,2.75
Autistica - Work: Self Confidence,120,58358243,2,2,3,2,2,3,3,3,2,2,3,2,3,3,2,3,2,3,2,2,3,2,2,3,3,3,2,2,3,3,06/01/2019,1189,2.5,2.333333333,2.5,2.5,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,47815963,3,3,3,3,2,3,2,3,2,3,2,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,2,06/01/2019,1190,2.75,2.666666667,2.25,2.5,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,69828639,3,2,2,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,2,3,2,3,06/01/2019,1191,2.75,2.333333333,2.5,2.75,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,38868666,5,3,3,2,3,3,2,3,3,2,3,2,2,3,2,3,3,2,2,3,3,3,3,2,3,2,2,3,2,2,06/01/2019,1192,2.5,2.5,3,3.5,3,2,2
Autistica - Work: Self Confidence,120,72888018,5,2,2,3,2,2,3,3,3,3,3,2,3,3,3,2,2,2,2,3,3,2,2,3,3,2,3,2,3,2,06/01/2019,1193,2.25,2.5,2.5,3.25,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,43522829,3,3,2,3,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,06/01/2019,1194,2,2.5,2.75,2.5,2.5,2.25,2.75
Autistica - Work: Self Confidence,120,41811454,3,3,2,2,3,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,06/01/2019,1195,2.75,2.166666667,2.75,2.25,2.25,2.5,2.25
Autistica - Work: Self Confidence,120,40690745,3,2,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,3,3,2,3,3,2,2,3,2,3,2,3,2,06/01/2019,1196,2.25,2.333333333,2.25,3,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,25057429,5,3,2,2,3,2,3,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,3,2,2,2,2,3,2,3,06/01/2019,1197,2.75,2.666666667,2.5,3.25,2.25,2.5,2.25
Autistica - Work: Self Confidence,120,39249976,3,3,2,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,2,2,3,2,2,2,3,2,3,3,06/01/2019,1198,2.5,2.333333333,2.75,2.5,2.25,3,3
Autistica - Work: Self Confidence,120,63410382,2,2,3,3,2,3,3,3,2,2,3,2,2,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,06/01/2019,1199,2.25,2.166666667,3,2.5,2.5,2.25,2.5
Autistica - Work: Self Confidence,120,61657100,3,3,2,3,3,2,2,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,2,2,3,2,2,06/01/2019,1200,2.25,2.833333333,2.75,2.75,2.5,2.25,2.75
Autistica - Work: Self Confidence,120,22222222,2,3,2,2,3,2,3,2,2,3,2,3,2,3,2,2,3,2,3,2,3,2,2,3,2,2,2,2,3,3,6/14/19,1201,2.25,2.5,2,2.25,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,11111111,2,2,2,3,2,3,3,3,2,2,2,2,3,3,2,3,2,2,3,3,2,3,3,3,3,2,2,3,3,2,6/14/19,1202,2.5,2.5,2.75,2,2.75,2.25,2.75
Autistica - Work: Self Confidence,120,12077101,1,3,2,3,2,2,2,2,3,3,3,3,2,3,2,3,3,2,2,3,2,2,2,3,2,3,2,3,2,2,6/14/19,1203,2.25,2.666666667,2.75,2,2.5,2,2.5
Autistica - Work: Self Confidence,120,38961843,5,2,3,2,2,2,2,3,3,3,2,2,3,3,2,2,2,2,3,2,3,2,2,2,3,2,2,2,3,2,6/14/19,1204,2.25,2.166666667,2,3.5,2.75,2.25,2.25
Autistica - Work: Self Confidence,120,67611589,3,2,3,3,3,3,2,2,2,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,6/14/19,1205,2.5,2.5,2.5,2.5,2,2.75,2.75
Autistica - Work: Self Confidence,120,32500162,3,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,3,3,2,2,3,3,2,2,3,2,3,3,2,6/14/19,1206,3,2.5,2.5,2.5,2.5,2.5,2.75
